sents,labels
so lucky i laged out,O O P O O
good job [SEPA] this 2 fuckerclink n invoker always no dust,O O SEPA P O O O C O O D
kekke,O
rofl,S
END MID PLS [SEPA] NO DEFENDERE [SEPA] FAST PLS,O S O SEPA O O SEPA O O
[SEPA] Repord alchi plz,SEPA O C O
GGWP,S
lame pinke,O O
wtf,T
gg wp,S S
0 6 [SEPA] 1 9 [SEPA] loo,O O SEPA O O SEPA O
Dat Invoker hates me =,O C O P O
haha,O
u fuken lost,P O O
dazzle,C
noob [SEPA] lose mid [SEPA] call om silencer [SEPA] HAHAHA,T SEPA O S SEPA O O C SEPA O
report invoker pls,S C O
haha,O
stop whine sniper [SEPA] You arnt better then them,O O C SEPA P O O O P
haha,O
the wild 5man appears,O O O O
100,O
ff,S
REPORT VOID PLS,S C O
wtf tus [SEPA] also rich guys,T O SEPA O O P
bkb is bad on bh btw [SEPA] NO DS,D O O O C O SEPA O O
noob wr,T C
aw,O
lol [SEPA] haha,O SEPA O
so many wards,O P S
great game great game,O O O O
ez dr,S O
Thank you pudge,O P C
Ty,O
thats why we lost,P O P O
yes [SEPA] u2,O SEPA O
auto gg [SEPA] :D,O S SEPA O
NOW BKB,O D
where was drow,P O C
gud game,O O
32 in 12,O O O
ok,O
gg,S
FUCKIN IDIOT,T T
and,O
[SEPA] report sf,SEPA S C
HAH [SEPA] EZ,O SEPA S
were you afk in the jungle for fun lycan,O P S O O S O O C
SUP U FUCKA,S P T
tahts impossible,O O
EZ [SEPA] NOOB,S SEPA T
Ty,O
i dont get it,P O O P
gg,S
KDDDDDDDDDDDDDD [SEPA] WTF [SEPA] :DDDDDDDDDDDDD [SEPA] NICE COURIER [SEPA] RETARDS [SEPA] PLEASE REPORT SILENCER AM,O SEPA T SEPA O SEPA O D SEPA T SEPA O S C C
dont know what to say about venge,O O P O O O C
now gg,O S
GG,S
WHO FUCKING Fortify [SEPA] WTFG [SEPA] we need it for base [SEPA] sigh,P T O SEPA O SEPA P O P O S SEPA O
come rat it,O S P
no need,O O
Anything else,P O
well shiet nigga,O O T
lol,O
yeah man [SEPA] i quilspray and see it 5 seconds later [SEPA] dusa i have no idea where you are it is like you are blinking towards me,O P SEPA P O O O P O O O SEPA C P O O O P P O P O O P O O O P
midas buyer game loser,D O O O
gl my ass,S P T
I KNEW IT,P O P
psl tell my team tu pouse when some on is dc,O O P O O O O P O O O
wait ah [SEPA] dont kill me first ah,O O SEPA O O P O O
nub,O
Sf hard noob [SEPA] come b tch,C O T SEPA O S O
sda,O
ez [SEPA] ez [SEPA] ez [SEPA] ezwp,S SEPA S SEPA S SEPA S
qop is the only noob on our team [SEPA] 12 yrs old girl slark is better then her,C O O O T O P O SEPA O O O P C O O O P
gg,S
Why u keep on disconnecting [SEPA] net prob,O P O O O SEPA O O
:*,O
Therikavidalama,O
gg,S
pls [SEPA] report this motherfuking shitty te < m [SEPA] alch cm shit [SEPA] 0 ward [SEPA] 0 fight by them,O SEPA S P O T O O O SEPA C C T SEPA O S SEPA O O O P
roofl [SEPA] LOL,O SEPA O
:( kunkka,O C
maybe slark isnt useless [SEPA] maybe hes just a fuckhead,O C O O SEPA O O O O T
i am ending,P C O
need rc,O O
pls [SEPA] somehow sf missed ult rofl,O SEPA O C O S S
REPORT WR [SEPA] REPORT JUGER,S C SEPA S O
i wanted to use it once =\ [SEPA] atleast,P O O O P O O SEPA O
riki,C
hahaha,O
yea u win this game [SEPA] and u still 5k mmr,O P O P O SEPA O P O O D
what a game :D,P O O O
nice carry bane and venge,O S C O C
item choise nice by invoker [SEPA] :),O O O O C SEPA O
gg,S
fail,O
PEENOISE,O
hahahahaha [SEPA] for the win,O SEPA O O O
4 BOT,O S
gg wp,S S
teamchat,O
noone care,T S
:D,O
ggggg,S
end,O
ez mid,S S
hahaha,O
WTF [SEPA] WAT HAPPEN,T SEPA O O
you can get one abandon,P O O P O
report AM,S C
gg,S
yeah sky,O C
looy pud,O T
Aw,O
drag this shit out,O P T O
ggwp [SEPA] lol,S SEPA O
GG,S
you cant beat us [SEPA] that fow show,P O O P SEPA P S O
gg,S
hey guys can you wait 45 seconds [SEPA] for my uhhh q,O P O P O O O SEPA O P O O
gg noob team [SEPA] report riki ty [SEPA] gg report riki last pick [SEPA] ty,S T O SEPA S C O SEPA S S C O O SEPA O
ya,O
im winner,O O
net takogo slova,O O O
report es [SEPA] report es please,S C SEPA S C O
Serenity vs Serenity,O O O
wp boiz,S O
ni hao ma,O O O
End bot,O S
RS s [SEPA] kill storm [SEPA] noob [SEPA] please,O O SEPA O C SEPA T SEPA O
gg,S
EZ DUDE I M ACCOUNT BUYER,S P P O O O
gg,S
COME MID [SEPA] trust me [SEPA] COME [SEPA] EZ,O S SEPA O P SEPA O SEPA S
yeah fuck this random scum huskar [SEPA] report the fuck outta him,O T P O T C SEPA S O T O P
lol,O
you dont deserver to win this,P O O O O P
gg,S
Our BS is useless but we do kinda need him [SEPA] Wait please,P S O O O P O O O P SEPA O O
honestly [SEPA] I am feeling like a match winner,O SEPA P C O O O O O
haha lol,O O
haha,O
hes so op [SEPA] i love him,O O O SEPA P O P
wr you owe me one,C P O P P
lel [SEPA] just wanted to take revenge of the shitty i have mana and 3 damage moments you gave me at mid OD,O SEPA O O O S O O O T P O S O O S O P O P O S C
GG,S
GG,S
report doom ty,S C O
this silencer,P C
that brain,P O
ROFL [SEPA] can ; t win a 4v,S SEPA O O O O O O
Ty,O
:),O
b,S
5500 europe [SEPA] ranked matchmaking [SEPA] first game of the day,O O SEPA O O SEPA O O O O O
faggot,T
ck has no farm,C O O S
Its always one sided,P O P O
oh yes,O O
ggwp,S
si eaz mid,O O S
:D,O
ROFL,S
jimbo [SEPA] get on ts Xd,O SEPA O O O O
GG [SEPA] pushte [SEPA] ya otjimayu,S SEPA O SEPA O O
i miss veno s voice,P S C O O
bet 100,O O
gg wp [SEPA] ty [SEPA] i will command you,S S SEPA O SEPA P O O P
lm pe a,O O O
lika dis,O O
what lol,P O
can u report this game ruiner sd,O P S P O O C
gg slardar haha,S C O
go,S
lol [SEPA] thats not my ability of playing when coming back after 2 months,O SEPA P O P O O O O O S O O O
lol [SEPA] best farming,O SEPA O S
spec has her 33 min radience [SEPA] lol,O O P O O O SEPA O
how to safe,O O S
INVOKER 13 LVL,C O O
report fv please and say hi to youtube,S O O O O O O O
noice,O
come nyx,O C
that riki smoke,P C D
LOL,O
hAHAHAHAHA [SEPA] hAHAHAHAHAH [SEPA] HAHAHA [SEPA] hAHA,O SEPA O SEPA O SEPA O
bobo,O
gg,S
oh,O
Report am plz,S C O
5555,O
gg wp,S S
not for dmg [SEPA] for kill,O O O SEPA O O
lol,O
zeuiz,O
noob necro,T C
chill i just newbie ;),O P O O O
GG PREDICT NOOB ANTI NO PUSH GAY,S O T O O S T
:(,O
says hes in game,O O O O
gg,S
and feeds all game long,O O P O O
smar,O
diz ud dog,O O O
CLQ,O
let it be [SEPA] not counted btw,O P O SEPA O O O
AND WAIT SPECTRE TO GET ITEMS [SEPA] PLS REPORT THIS TARD SILENCER,O O C O O O SEPA O S P T C
fat SF nice,T C O
:D,O
GG ALCHE,S C
SF [SEPA] THANK YOU SF [SEPA] :),C SEPA O P C SEPA O
my dick is [SEPA] so hard atm,P T O SEPA O O O
haha,O
okayu [SEPA] okay,O SEPA O
end pls [SEPA] nobo team [SEPA] wtf,O O SEPA O O SEPA T
gg [SEPA] nice pause,S SEPA O O
only if u dont mine,O O P O P
haha,O
doctors have wooden pcs,O O O O
what,P
peace,O
finally,O
this idiot is crazy [SEPA] report him pls,P T O O SEPA S P O
yea i ask u several times to not fuck my lane [SEPA] but u are retarded [SEPA] 1vs1 top was way better for me [SEPA] exp and money [SEPA] and a kill most likely but u decide to drain my exp and fuck lane wave,O P O P P O O O T P S SEPA O P O T SEPA O S O O O O P SEPA S O O SEPA O O O P O O P O O O P S O T S O
so u pick it essez,O P O P O
sk [SEPA] please,C SEPA O
wii,O
Fast game boys [SEPA] need to be done 30 minutes,O O O SEPA O O O O O O
lol,O
i mean sven,P O C
[SEPA] blame [SEPA] u play like shit,SEPA O SEPA P O O T
icefrog things,O O
omg stop fucking lion,O O T C
gg wp,S S
gg,S
this pause,P O
hha,O
y,O
[SEPA] ez mana,SEPA S S
TINEKR,O
GOD,O
dick,T
aw [SEPA] z [SEPA] WTF,O SEPA O SEPA T
we unstopdbl,P O
2 min,O O
XAxaxaxax,O
true,O
plz ff we no def,O S P O O
ff pls,S O
at least they are dying [SEPA] jugger afk farm [SEPA] doiung noithign,O O P O O SEPA C S S SEPA O O
gg wp,S S
gg end game,S O O
idestroyed it bro [SEPA] not there anymore,O P P SEPA O P O
XA,O
gotem,O
my team doe,P O O
lol,O
ez of my life,S O P O
fun game,O O
back,S
this hero shit vs alch ROFL,P O T O C S
pick alce guys,O C P
xhamster,O
Haha,O
Keep on eating our shitty peruvian [SEPA] doods,O O O P T O SEPA O
gg wp,S S
just wait hes onlinE,O O O O
ulti,S
wait la [SEPA] fair,O O SEPA O
u 360 fgts [SEPA] wow,P O O SEPA O
ez loss,S O
tis pudge lol [SEPA] rofl [SEPA] saw ur hooks noob [SEPA] dont cal me noob fucker [SEPA] lol,O C O SEPA S SEPA O P O T SEPA O O P T T SEPA O
lol straight dirt bags,O O O O
:3 [SEPA] :P,O SEPA O
Haha,O
:),O
rat like gay,S O T
hahahaha [SEPA] ta [SEPA] go 1v5 [SEPA] ya [SEPA] ta [SEPA] 1v5 now [SEPA] go,O SEPA C SEPA S O SEPA O SEPA C SEPA O O SEPA S
EZE AM,S C
Tho yea she is really hot,O O P O O O
WELL PLAYED [SEPA] FURION KILL SF GOGO,O O SEPA C O C O
REPORT WR PLEASE [SEPA] ez mid,S C O SEPA S S
clearly you do not know shit,O P O O O T
ez katka,S O
REportd fkng nooob alchi [SEPA] alchi delte fame plz nooob bitch,O O O C SEPA C O O O O T
hmm,O
ez,S
hahah [SEPA] ggwp,O SEPA S
report this wr [SEPA] fucking [SEPA] 41 min orchid [SEPA] 1 6 3,S P C SEPA T SEPA O O D SEPA O O O
EZ,S
I SWEAR,P O
ez game,S O
ez qop [SEPA] really,S C SEPA O
NOT GG WITH SLARK [SEPA] Just report [SEPA] Him,O S O C SEPA O S SEPA P
EZ [SEPA] GAME,S SEPA O
wat wat [SEPA] fog of wa [SEPA] r,O O SEPA S O O SEPA O
im lucky,O O
lolz,O
gege izi,O O
EZ,S
haha,O
dunno just to gob smacked [SEPA] by slark [SEPA] ya,O O O T O SEPA O C SEPA O
ez [SEPA] ez [SEPA] ez,S SEPA S SEPA S
lucky,O
euls [SEPA] slark [SEPA] in my ulti,D SEPA C SEPA O P S
easy mid easy life [SEPA] 329 gpm sf,O S O O SEPA O O C
[SEPA] that deny tho,SEPA P S O
done,O
me too,P O
[SEPA] but i dont know what i can do [SEPA] [SEPA] fucking 3k mmr,SEPA O P O O P P O O SEPA SEPA T O D
gg,S
no [SEPA] pls wait,O SEPA O O
Ye [SEPA] better than suck on bot,P SEPA O O T O S
stfuy trash pls [SEPA] rly [SEPA] dota is karma [SEPA] hope u get 2k,O O O SEPA O SEPA D O O SEPA O P O O
how good am i at bm [SEPA] no kappa,O O C P O C SEPA O O
noob axe hahahah [SEPA] galwang ninja,T C O SEPA O O
yes [SEPA] fuck lag [SEPA] VOLVO,O SEPA T O SEPA O
bait,S
gg,S
sad,O
ogre,C
and then you just click 1 button [SEPA] and have att speed,O O P O O O O SEPA O O O O
yea i can tj ust press r and have an aoe silence,O P O O O O O O O O S D
FUHRZEN,O
the thrwos,O O
wait plz,O O
kill doom,O C
who knows,P O
ROLF,O
:,O
well,O
annoying noobs,O T
ggwp [SEPA] commend me,S SEPA O P
bad team,O O
dumbass mid and hard carry,T S O O S
HAHA,O
:D,O
COMMEND US,O P
aahahhaa,O
great game [SEPA] report pugna,O O SEPA S C
easy mid [SEPA] easy life [SEPA] look at my denies [SEPA] easy mid easy life,O S SEPA O O SEPA O O P O SEPA O S O O
i fucked ur dad,P T P O
team sucks,O T
ahaha,O
wp guys,S P
ggwp,S
u dont need 5 its over comeo n [SEPA] go,P O O O P O O O SEPA S
gg noobs,S T
Wtf,T
a roaming sven ftw,O O C O
great joke 10,O O O
XD,O
gg,S
pls [SEPA] report kunkka,O SEPA S C
he is come [SEPA] 3 min,P O O SEPA O O
mineski com e on,O O O O
I lose [SEPA] LOL,P O SEPA O
report invoker pls,S C O
if only your 4k ember was 5k,O O P O C O O
lol,O
late bs [SEPA] but thats ok,O S SEPA O P O
LD,O
gg,S
xD,O
aa lagging,C O
killer qop,O C
yo dude u got an abandon,O P P O O O
5 man pls [SEPA] and buyback u trash faggot mid ember,O P O SEPA O O P O T S C
FUCK TEAM [SEPA] FUCK SK,T O SEPA T C
im tired [SEPA] end,O O SEPA O
report lina [SEPA] report lina,S C SEPA S C
EZ,S
yah,O
AA [SEPA] ff,C SEPA S
yes,O
hahaha [SEPA] can you believe that [SEPA] ez mid,O SEPA O P O P SEPA S S
gg,S
same here 2 offlane,O O O S
what shpould he buy then iron branch,P O P O O O D
tienen 4min,O O
2,O
for fuck you,O T P
wow,O
KONTOL [SEPA] ANJING,O SEPA O
yep,O
hahaha,O
namaste ji,O O
fast kills we win fights [SEPA] ;),O O P O O SEPA O
GO PUSH,S S
done,O
ahaha,O
IM new on dota dude [SEPA] :(,O O O D P SEPA O
NICE SHIT ALCHEMIST [SEPA] WTF [SEPA] NICE SHIT ALCHEMIST [SEPA] WTF [SEPA] NICE SHIT ALCHEMIST [SEPA] NICE SHIT ALCEHMIST,O T C SEPA T SEPA O T C SEPA T SEPA O T C SEPA O T O
report tiny pls,S C O
haha,O
GG PA,S C
lol,O
GGWP [SEPA] fucking Tea,S SEPA T O
lol,O
haha [SEPA] lol [SEPA] haha,O SEPA O SEPA O
best snowball,O D
haha,O
ez,S
I CANT SEE [SEPA] i did early or [SEPA] late,P O O SEPA P O O O SEPA O
nice viper,O C
hayshit [SEPA] gayshit [SEPA] f ck,O SEPA O SEPA O C
ez top ez life,S S S O
xd [SEPA] uheuhee,O SEPA O
gg,S
wp,S
Haha,O
damage over time,S O O
4,O
mid fail [SEPA] MID FAIL,S O SEPA S O
of ancients,O S
thx,O
suck it russians [SEPA] deep,T P O SEPA O
ye ez,P S
u are just another 5k,P O O P O
lol,O
dude [SEPA] we wait him 10 mints [SEPA] [SEPA] Wtf he is doing,P SEPA P O P O O SEPA SEPA T P O O
GG,S
u can do it,P O O P
no ya habia muerto me huevie de tecla xD,O O O O P O O O O
lol,O
is he okay,O P O
gg,S
man [SEPA] 10 pm [SEPA] 10 20,P SEPA O O SEPA O O
calculated,O
6k slayer [SEPA] haha,O C SEPA O
bkb lasted longer anyway she dead by taht time,D O O O P T O O O
HAHA,O
haha ok,O O
rekt [SEPA] huhhuhuhuhuh,O SEPA O
yall soft,P O
lol i know i was just playing dumb [SEPA] :D [SEPA] LOL [SEPA] me gusta face said hed like to lick all of your cocks [SEPA] but in allies,O P O P O O O T SEPA O SEPA O SEPA P O O O O O O O P O P T SEPA O O O
TY FOR PUASE [SEPA] GAME [SEPA] RETARDS,O O O SEPA O SEPA T
doom good,C O
keep teliin yourself that,O O P P
[SEPA] Okay I mute you for cancer now [SEPA] byebye,SEPA O P O P O S O SEPA O
LOl [SEPA] now the team ganks work,O SEPA O O O S O
hi,O
ROFL,S
what the fuck,P O T
ggwp :D commend tank,S O O S
i am pro in serious ply,P C O O O O
POOR ZEus,O C
we give him mid but man so bad [SEPA] man i stay vs ds [SEPA] what i must have [SEPA] say me plz,P O P S O P O O SEPA P P S O O SEPA P P O O SEPA O P O
u know what we dont have supp [SEPA] i,P O P P O O O SEPA P
NA salty boys,O O O
leave him,O P
try hard more xD [SEPA] a 200 gpm slark,O O O O SEPA O O O C
leaderhsip please,O O
lol,O
rewporetd idiots [SEPA] BAJCHS,O T SEPA O
fight,O
LOL [SEPA] im a faggot ignore me,O SEPA O O T O P
BUY ACC THEN FEEL LIKE A PRO [SEPA] NC [SEPA] HAHAH [SEPA] WTF,O O O O O O O SEPA O SEPA O SEPA T
it is in ur jungle,P O O P S
clinkz is ded [SEPA] blackout [SEPA] pls end fast if its ez,C O O SEPA T SEPA O O O O P S
dont have,O O
rq,O
haters gonna hate ;(,O O O O
xD,O
gank much wont giff u a victory,S O O O P O O
Stupid team [SEPA] carry sucks,T O SEPA S T
2 tangos pls,O D O
wp ember,S C
[SEPA] n1,SEPA O
:D HI MY rage boy,O O P D O
Lmao recipe [SEPA] i just destroyed ld recipe,O O SEPA P O O O O
i cant even upgrade my 6k on my main,P O O O P O O P O
wp [SEPA] tq mmr,S SEPA O D
lol [SEPA] lol [SEPA] Free mmr,O SEPA O SEPA O D
gg,S
haha,O
ill support u buddy,O S P O
ik,O
11 QOP ASK FOR REPORT [SEPA] SEE [SEPA] ALWAYS [SEPA] FEED,O C O O S SEPA O SEPA O SEPA D
MOST EZ GAME OF LIFE [SEPA] LOL,P S O O O SEPA O
WHOCARES,O
how does it feel to get killed by a pussy,O O P O O O O O O T
hAHA [SEPA] HAHAHA [SEPA] hahahaha,O SEPA O SEPA O
GO PICK SHIT AND AUTOWIN,S O T O O
loa just level,O O O
gg,S
GG TEAM ALL FARM,S O P S
not,O
can u report es [SEPA] nice afk,O P S C SEPA O S
u suck deek,P T O
:D,O
gg commend me,S O P
Bunch of shit kunts,O O T O
farming for buy back now spec [SEPA] sad,S O O S O O SEPA O
yah [SEPA] void dick head hahahha,O SEPA C T D O
i guess they do not have a minimap,P O P O O O O O
where u going omni [SEPA] theres candy at the top of the ramp [SEPA] free candy,P P O C SEPA P O O O S O O O SEPA O O
ehueheuheu,O
HOW YOU PICK COTL IN 2015 [SEPA] SAY ME PLEASE,O P O O O O SEPA O P O
G,O
door [SEPA] sorry,O SEPA O
wp [SEPA] be 60 min game,S SEPA O O O O
afk farming hero alch so gay,S S O C O T
well [SEPA] if u feed me [SEPA] we cant win this game either [SEPA] with this idiots :D,O SEPA O P D P SEPA P O O P O P SEPA O P T O
too pro ta,O O C
RIP,O
eTO TI TAK NAMEKAEW [SEPA] TOB YA TEBYA NAXYU POSLAL [SEPA] AAAA [SEPA] ETO NORMAL NO [SEPA] MALENK U PIZDABO [SEPA] YASNO [SEPA] IDID NAXYU ZAEBAL YJE,O O O O SEPA O O O O O SEPA C SEPA O O O SEPA O P O SEPA O SEPA O O O O
u got wrekt mid kid,P O O S O
ye keep going in chrono,P O O O O
haha,O
looks whos talking,O O O
lowprio incoming,O O
NOPE [SEPA] I LIKE YOU [SEPA] HEHHE,O SEPA P O P SEPA O
and diebacks,O O
sven 540,C O
gj,S
no one [SEPA] died [SEPA] u fucking idiots,O P SEPA O SEPA P T T
ez,S
9k golds,O O
sad life,O O
good,O
scrub,O
oh ok [SEPA] is he return,O O SEPA O P D
That s a more Kramer thing to say these days,P O O O O O O O P O
hi shaker,O C
close game,O O
go at 3rd tower,S O O S
that miss [SEPA] xD,P S SEPA O
report sf = comend,S C O O
[SEPA] but [SEPA] First time brood [SEPA] Dont care,SEPA O SEPA O O C SEPA O S
ez,S
BYE,O
gg,S
so are you [SEPA] with a bonus,O O P SEPA O O O
TREASUES,O
EZ MID,S S
END FASTR,O O
boy [SEPA] calm,O SEPA O
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz [SEPA],O SEPA
i like this game,P O P O
even worst not fair for noone,O O O O O T
o damn forgot it is pure,O O O P O O
just wait,O O
must be hard with dagon xD [SEPA] :D,O O O O D O SEPA O
fuck thsi life,T O O
pick enigma first,O C O
k,O
troll please dont act like my kiddo here,C O O O O P O O
carried by chen,O O C
im sorry,O O
plz,O
lies,O
i wish i have 2 dick xD,P O P O O T O
9 [SEPA] :D,O SEPA O
dude [SEPA] please,P SEPA O
ggwp,S
you being way too pushed is ridiculous,P O O O S O O
ghaha [SEPA] Haha,O SEPA O
REALLY [SEPA] FUCK U,O SEPA T P
iKR [SEPA] u R [SEPA] dOG SHIT BRAIN DEAD AA,O SEPA P O SEPA O T O T C
ggwp :),S O
det emil stabil,O O O
Aw [SEPA] lol [SEPA] troll s amazing [SEPA] lol [SEPA] lol,O SEPA O SEPA C O O SEPA O SEPA O
and they called me trash [SEPA] rofl [SEPA] fuck you tidew [SEPA] all my teammates do [SEPA] is put me down [SEPA] try to demoralize me,O P O P O SEPA S SEPA T P O SEPA P P O O SEPA O O P O SEPA O O O P
hard to do it while you are defending like this,O O O P O P O O O P
wtf,T
AND HIS NAME IS JOHN CENAAAAAA,O P O O O O
HAHA,O
ezezeze,S
report,S
nnono i mean commended,O P O O
lol,O
i reported you [SEPA] i never want to play with you again,P O P SEPA P O O O O O P O
idiot,T
fuck alce got,T C O
WTF THIS TEAM,T P O
Earthsahker,C
izi bot,O S
lol,O
my ass,P T
o o,O O
#ERROR!,O
gg wp,S S
im rich,O O
hahahaha,O
not rly,O O
tuskar sucka ma deek,C O O O
gg,S
coz you still deffing IDIOT,O P O O T
rapiraa,O
knew it,O P
u are on my friends list,P O O P O O
won my lane [SEPA] so ez,O P S SEPA O S
ez game,S O
joke,O
gg,S
like ur mom,O P D
lmao [SEPA] i rape u in mid [SEPA] what can u say,O SEPA P T P O S SEPA P O P O
hahahhahahahah [SEPA] gg commend abbadon sir tank,O SEPA S O C O S
OHMEN [SEPA] so stronk,O SEPA O O
wait please,O O
ok you guys win [SEPA] wp,O P P O SEPA S
happens to the best,O O O O
didnt even leave me money to get boots [SEPA] against a jug [SEPA] retarded trash,O O O P O O O D SEPA O O C SEPA T O
gettin divine,O D
joke,O
NOOB TEAM [SEPA] no noob team,T O SEPA O T O
our yellow player is a squeaker gg,P O O O O O S
Ez,S
haha,O
report alchie abuse,S C T
lol,O
haha,O
haha,O
it is tbh,P O O
fck u [SEPA] gg,T P SEPA S
:),O
report pink pls,S O O
2 [SEPA] 1,O SEPA O
i die to ur minions,P O O P O
i forgot [SEPA] badabing,P O SEPA O
now you gonna flame me you little shit god what in the world is that,O P O O P P O T O P O O O O P
Gamers,O
ew wat a loser,O O O O
gg [SEPA] sents [SEPA] base [SEPA] 6,S SEPA O SEPA S SEPA O
XD,O
thanks for ganking mid all day,O O S S P O
he has a tp,P O O S
nice stun es [SEPA] leash,O S C SEPA O
GGWP,S
i think its easy mmr,P O P O D
gg,S
WTF [SEPA] AHAHA,T SEPA O
musa [SEPA] XD,O SEPA O
wrong,O
where u pro pudge,P P O C
noobis,O
its planned,P O
gg,S
gg [SEPA] ya se my mmr,S SEPA O O P D
slow pc slow pick [SEPA] so noob,O O O O SEPA O T
sad lion,O C
ez,S
ah fuck true,O T O
fu,T
sad PA,O C
nabs [SEPA] just end,O SEPA O O
Baited,O
oh lord [SEPA] 4k game [SEPA] never end,O O SEPA O O SEPA O O
gg wp,S S
srsly,O
pick pls,O O
nice,O
cl your hands are kind a SLOW,O P O O O O O
:DD [SEPA] that was an erroe [SEPA] error,O SEPA P O O O SEPA O
gg,S
gg,S
gg,S
gg ez,S S
o0ne hit delete i sure,O O O P O
thx es,O C
GG,S
you and tide,P O C
no,O
suka [SEPA] motherducker,O SEPA O
wtf leslie is in this game too [SEPA] its me john,T O O O P O O SEPA P P O
k,O
its a tie,P O O
get graphic lower,O O O
report WK plz,S O O
thanks,O
ole,O
BABY BOYS,O O
w8 k,O O
TIGHT SHIT [SEPA] BLACK COLOUR,O T SEPA T O
GG WP,S S
report ta [SEPA] ruined game,S C SEPA O O
Report [SEPA] Invoker pls [SEPA] Blind son of bitch,S SEPA C O SEPA O O O T
LOL,O
pro sf watch porn,O C O T
EZ,S
EZ,S
nub,O
phew 50 hp,O O O
hi [SEPA] NOOO,O SEPA O
report tiny or he can be next game in yr team xD,S C O P O O O O O O O O
GLHF,S
one pipe is all that took,P D O P P O
how many minutes passed already,O P O O O
[SEPA] lol,SEPA O
out of 33,O O O
why dont come,O O O
gg,S
tt totem,O O
tron,O
comon,O
baby,O
BKB STOP MY ULT,D O P S
report void all,S C P
EEEEE,O
so we should w8 now,O P O O O
they afraid,P O
bb [SEPA] 1st [SEPA] 1st now,C SEPA O SEPA O O
GG,S
wind,C
quickscoped,O
1,O
tr [SEPA] try [SEPA] TRY,O SEPA O SEPA O
your mom slut,P D T
what a luna,P O C
Report that turk trash,S P O O
Hahaha [SEPA] joke time,O SEPA O O
k,O
wow,O
Lol,O
Wew,O
russian,O
while pc crashed,O O O
gg,S
LOL,O
is it,O P
gg,S
go farm more [SEPA] u need more farm,S S O SEPA P O O S
GGWP,S
hahahaha,O
haha [SEPA] you are mean,O SEPA P O O
another injoker,P O
:d,O
haha,O
Ez,S
wow,O
a one piece fan is always a brother,O P O O O O O P
how much ur account,O O P O
whoops,O
pussy jug,T C
heh [SEPA] heh,O SEPA O
unfortunately [SEPA] its not that easy,O SEPA P O P O
fish down [SEPA] fish down [SEPA] alien down,O O SEPA O O SEPA O O
CUZ HE LEFT BEFORE [SEPA] 5 MINUTES,P P O O SEPA O O
30 minutes,O O
GG,S
bat,C
WITH THIS MAG [SEPA] BEST ARISE,O P O SEPA O O
afk [SEPA] free kill,S SEPA O O
Gg,S
random,O
REPORT TINKER FEEDING,S C S
gg,S
min 1,O O
COMMEND ty,O O
we will and we can [SEPA] fucking thief cunt,P O O P O SEPA T O T
cmon WR go bet some coins,O C S O P O
ggwp,S
noob riki,T C
5 lc trying to lay the blame on every1 else [SEPA] every asked him not to go jungle,O D O O O O O O O O SEPA O O P O O S S
shh all chat,O P O
Atos op,D O
ff :),S O
thats why Abba predict,P O C O
Err,O
best freeze ever,O O O
no shit [SEPA] 6v4 with aegis [SEPA] our hc dies,O T SEPA O O D SEPA P O O
see I can tank,O P O S
DID U forget ur safe word,O P O P S O
u prefere 6,P O O
gg,S
spec [SEPA] run,O SEPA O
EZ,S
more cancer pls,O S O
nah [SEPA] i actuially tp ed in [SEPA] alone [SEPA] :/,O SEPA P O S O O SEPA O SEPA O
too self confidence [SEPA] who jump high fall down,O O O SEPA P O O O O
dont def plz,O O O
huskar is lag,C O O
lucky girl,O P
go techies after see 4 melee,S C O O O O
pls dont do that,O O O P
fuck,T
pip,O
report chen,S C
haha [SEPA] commend,O SEPA O
worth it,O P
lag mental,O O
stfu,T
casual dotka bois [SEPA] niggumus [SEPA] lil riki boi is a pussy boi,O O O SEPA O SEPA O C O O O T O
void [SEPA] void,C SEPA C
but we dive much any other,O P S O P P
ya [SEPA] thanks,O SEPA O
4 lvl carry,O O S
nice global and posion [SEPA] low trash cans,O O O O SEPA O O O
lmao,O
u really hate me necro :,P O O P C O
that fucking range [SEPA] what the fuck,P T O SEPA P O T
all good,P O
7,O
gg,S
LOL,O
outplayd in lane lel,O O S O
this is 4k,P O O
omg,O
ulol ka zues,O O O
he skrub,P O
lol,O
Defend fuckers,O T
internal problem,O O
Ty for stacktrash,O O O
noob carry,T S
ez bot :3,S S O
pro mat4es,O O
GG [SEPA] END [SEPA] boring game,S SEPA O SEPA O O
SNIPER IM COMING FOR U,C O O O P
you have disconnects [SEPA] i once lost like literally no fucking joke 7 games in a row [SEPA] cuz my team disconnected,P O O SEPA P O O O O O T O O O O O O SEPA P P O O
so salty :3,O O O
TRY HARD PLS,O O O
guys plz report [SEPA] brist i beg u [SEPA] plz report that noob guys i beg u [SEPA] plz i beg u [SEPA] report him,P O S SEPA O P O P SEPA O S P T P P O P SEPA O P O P SEPA S P
gg,S
you rekon ns,P O O
sf,C
Wasfucking shit,O T
any d,P O
eeeeeeeeeeeeeeez,S
so ez,O S
no,O
no ganks no anything from you [SEPA] so noob,O S O P O P SEPA O T
GGWP,S
meh,O
and,O
ggwp,S
ggwp,S
wew,O
i did not die on first try too,P O O O O O O O
EZ,S
:D,O
wind lost us the game,C O P O O
BARA SO EZ HERO,C O S O
